occupation	hisco	status	relation	product
"chandelier mounter"	99999			
"compensation balance maker"	99999			
"viewer of stores"	99999			
"mate"	99999			
"unknown"	99999			
"ironer"	99999			
"assistant to a diver of a pil cutter steam engine"	99999			
"pierhead man"	99999			
"whitening moulder"	99999			
"u"	99999			
"finisher"	99999			
"skin collector"	99999			
"picture frame mounter"	99999			
"ng"	99999			
"seep"	99999			
"manufacturer"	99999			
"tea taster"	99999			
"piercer"	99999			
"canvas primer"	99999			
"flourist"	99999			
"machine ruler"				
